ID,Tweet,Label
3472,Mehta jee ... ap ko Hafiz Saeed se itna darr kiyon lagta hai ...  usko nahi pakar sakte to bollywood se kaho ... movie banao aur pakar lo.,NO
7173,dismembered nate silver found in dumpster behind gallup headquarters,YES
6535,don king enjoys grandilomentitudinous sandwich,YES
2327,Shayad Johny Lever ko Bollywood me Kaam Milna band ho gaya hai ISI liye kuch bhi #Tweet karta rehta hai,NO
6275,bush hopes recession doesn't affect sales of his memoirs,YES
2970,"#TripleTalaq @ZeeNews  pls ask to @KapilSibal Baal vivah , sati partha ,bhed bhaw ye kaya ashtha se juda muda nahi rodiwadi ko badha De rahe",NO
4137,Khitaab mey Jashn e Azaadi ki baatein horahim ya aaj kal ki politics ki?,NO
6773,stressed-out 8-year-old looks YES2,YES
775,Sir ji aap kaha gayab ho Gaye hai bollywood se pata nahi hai aajkal,NO
12992,woman worried she doing bad job enjoying massage,YES
4172,Problem HinduMuslim mein nahin hai. Muslims ne wohi kiya jo aam log karte hain. Is jagah Hindu bhi wahi karte. Problem Netas Politics ki hai,NO
4814,#Gorakhpur #muzzafarnagar #hariyana   in sub ko chhupane ke liye  ek #tripletalaq hi kafee hai SHAHEB,NO
9041,giuliani clarifies he doesn't want gravestone to say 'he married his cousin' either,YES
11430,pennsylvania republican doubts vote he just suppressed would even have made a difference,YES
2397,Congress me bhi ab aggressive politics karte Up me akhlesh Bihar me tejashvi Mp me sindhiya MH me ap Hila diye h pure bihar ko tejshvi ne,NO
2131,Dear @duttsanjay #GaneshChaturthi ke din kuch Agarbattiiya bhi jalawo Bhai iiiii #SanjayDutt #Bollywood #BollywoodNewspic.twitter.com/DsJpBZcvih,NO
3655,07 September #Bollywood #nostalgia   1981 Jail Yatra 1984 Aaj Ki Awaaz 1990 Sher Dil 2007 Dhamaal 2007 Apna Asmaan,NO
12962,man born to party dies partying,YES
1649,Lagta hai Triple talaq band hone par tu Paagal ho gaya hai,NO
10960,zz top reveals meaning behind classic song 'legs',YES
11234,ivy-covered home like that on inside too,YES
12863,"good guy with gun, bad guy with gun both excited to unload firearm in crowd outside arena",YES
5411,uneventful past finally catches up to boring man,YES
11821,police headquarters completes new addition to accommodate officers on desk duty for misconduct,YES
374,Baki mujhe apni life ka dard n profile pata hai.politics n ye sab least chij hai..Bahut sare dusre issues hain.may be apke liye sirf yahi ho,NO
81,Bharat ke politics ke liye Koi shakat kaanun banana chahiye nahi to future me democracy se logo barosha uth jaayega.,NO
1155,"Yeh "" Poochh "" humko Dede Thakur ....  #Bollywood #FilmyBilla #FeelTheFizzpic.twitter.com/p7OQPaXmHz",NO
10346,peeping tom tired of watching people watch television,YES
9099,woman bids farewell to former self before beginning new skin care regimen,YES
1464,So you are supporting instant triple talaq.shame on you. Kisi be such kaha hai ki aurat hi aurat  ke sabse badi dushman hoti hai.,NO
14001,"""Wah, tumhari baat se sab quiet moments burst into colorful stories.""",YES
7958,businessman mortified to discover he's been wearing suit backwards all day,YES
7555,pantomimed lasso motion fails to pull woman across dance floor,YES
3929,Cricket hatwaya maine waise bhi woh bezati karwa rahe hai,NO
7470,ohio state puts urban meyer on paid secret coaching leave,YES
10087,nation could probably draw john boehner from memory at this point,YES
7683,cranberry juice industry hoping 2NONO9 a big year for urinary tract infections,YES
9218,study: all american problems could be solved by just stopping and thinking for two seconds,YES
3705,Virat concentrate on cricket. Kahin tujhe bhi deportation ka order mil gaya toh Rohingya ki team ka coach aur captain banna pad jaayega,NO
9496,white house press secretary responds to question about rising obamacare premiums with torrent of toxic spray from parotid glands,YES
13141,album that has nothing on fleetwood mac's 'rumours' wins grammy award,YES
13902,"""Haan haan, tumhari sarcasm se sab predictable routines get a twist of fate.""",YES
4022,Maafi v choti paregi aisi harkat se...desh ko sharminda karke rakhe hai aur ispe politics karne se log baaz v nahi aate...Duniya has rahi,NO
7210,narcissist convinced total strangers would want his organs,YES
12715,news website likes to set aside a little ad space to promote own articles,YES
1726,Kyuki aap ko Pata hai inki yeh condition kewal vote politics ki den hai. Inke sathiyo Inke pariwar bhee safar kar rahe hai,NO
5934,everyone on wedding dance floor simultaneously wondering if they're truly happy,YES
4722,@narendramodi JO KAR RAHE HO NA WOH POLITICS NAHIN HAI BHENDUAGIRI HIJARAGIRI DOGALAGIRI HAI .SHREYA GHOSHAL KI SHAADI SE ABHI TAK DESH PAR,NO
8048,wal-mart greeter knows exactly how many blacks in store,YES
10081,fantasy novel not holding back on criticisms of dwarvish culture,YES
7994,92% of area woman's holiday recipes involve pulverizing bag of oreos,YES
11196,"advertiser reaches out to youth with off-set, mixed-typography font",YES
10353,nation's economists quietly evacuating their families,YES
5827,tick happy where he is,YES
11515,price of gas rises to four expletives per gallon,YES
3271,Japan : 7G testing & fastest bullet train is being made. India : whatsapp par 11 logon ko om namah shivaaye bhejo kripa hogi #Sarcasm #LOL,YES
3425,"triple talaq gaya, halala gaya,burkha gaya",NO
4382,#TripleTalaq bandh. Ab UCC aur Mandir banna baki hain! @RanaAyyub,NO
1044,Koi condemn kare yaa naa kare ye condom ki aulaad AAPiye to bc aise he chutiyape karenge. Baccho ki maut par bhi ye gandi politics. #Shame,NO
1815,Suba alld me cricket khelne jate the to waha RSS walo ko dekhte the salute Karte hue. Alld to Fir bhi 50% Muslim hai aur ye 2000 ki baat hai,NO
409,Abhi abhi live cricket match k doran aik awaz bar bar aa rhi hai.......GO NAWAZ GO ...GO NAWAZ GO,NO
5005,Bro focus on ball more than biceps.kyunki biceps se cricket aacha kela jata toh khali aaj captain hota aap nahi#kadwevachana,NO
3681,Ye kahavat tab banai gayi hogi jab log bahut hi kam parhe likhe honge. Phir bhi cricket  ko chhor kar anya mey kahawat theek hi hai.,NO
1183,@digvijaya_28 @rssurjewala @OfficeOfRG Congress aur uanke jaise ghatiya politics karne walo ki wajah se train accedent badh rahe North mei,NO
8155,biblical scholars find evidence church covered up for 3 wise men who molested baby jesus,YES
7753,teach for america celebrates 3 decades of helping recent graduates pad out law school applications,YES
561,Triple talaq ke bhi baat karlo  Hawala malik ke noukar,NO
9388,republicans praise nixon administration for allowing qaddafi to rule libya so he could one day be overthrown,YES
9816,clinton promises to enact agenda whether or not she elected,YES
10351,report: most americans' retirement plans consist of hoping their random junk turns out to be collector's item worth millions,YES
12718,leftover bugles still stuck to trump's fingers during bill signing,YES
2312,"Arey  chachi , triple  talaq  petitioner  ishrat jahan  ke do bacche gayab ho  gaye  ,thoda unke  liye  bhi  awaaz uthaayo",NO
7730,"horrified grimes stumbles upon boyfriend's $YES8 billion plan for all-new, reinvented grimes",YES
2769,ek aur step cricket ki barbaadi ki aur.. #T10CricketLeague,NO
8586,3 toddlers dredged from chuck e. cheese ball pit,YES
11249,lazy event planner throws 'bags of ice'–themed party,YES
9456,lockheed martin engineer told to make it sear faces off faster,YES
5698,man 2NO minutes into organizing shelves becomes grimly aware of what chaos he has wrought,YES
8239,"bloodied, bruised john kerry emerges victorious at kickboxing tournament in bangkok prison",YES
4157,abhi dhoti me se bahar nikle hue cricket fan muje tumare opinion ki jarurat nai hai,NO
2103,Apse ummid thi ke aap #GorakhpurTragedy  pe bhy tweet karenge?? Triple talaq me to turant aa gaya?,NO
10576,"alexandria ocasio-cortez criticized for preventing 25,NONONO new york evictions",YES
893,Are yr vhi ghisipiti baaten.. Vhi ghisepite aarop..  Seedha jbab dia ni ja rha. Ki Triple Talaq k against h ya ni. Ghuma fira kr baat krna,NO
10725,queen elizabeth annoyed nude pictures of prince harry don't show anything good,YES
4822,Sharjeel Khan K Khilaf Faisla Sakht Palesi Ka Akaas Hai'Cricket Me Bad Unwaani Ki Mashkon Ko Qatai Bardasht Nai Krenge. Najam RP_BeebarG B,NO
4515,Every Person is Hidden under his Tongue#Acchedin#Kaaladhan#Sabka vikaas#tripletalaq#Hindutvarashtra,NO
7566,mark zuckerberg cited for contempt of congress after refusing to shut the fuck up about how he started company in dorm room,YES
12407,report: there must be some trick to unfolding table legs,YES
93,TRIPLE TALAQ MARDO ka ho gaya MODI N YOGI KUCH KARO AAMIR KO JAIL MEIN DAL DO PURE BHARAT KI APSE GUHAR HEIN,NO
12835,new study finds reading comprehension down amongst dumb fucks perusing this headline,YES
4594,Bhai yehan to cricket ka shubh mangal savdhaan hua pada hai...kuch mat bolo...,NO
12110,uninsured man hoping for gift card to local hospital for christmas,YES
9438,defunct 4-year-old sports blog still lurking on internet,YES
797,itni politics toh politicians ne bhi nahi kari abhi tak... sagarika tujhko itna dard kyu hua???,NO
8163,drake's introduces new yodel bandolier,YES
12739,lonely elderly man visits pond to pelt ducks with rocks,YES
3917,Cricket News Azeem Maqsad K Liye Us Se Barrh Kar Kuch Nahi Ho Sakta. Shahid Afridi #M_RaZZaQ*,NO
5763,sad 38-year-old googles 'jobs caring for baby animals',YES
3686,Baho mein chaali aa'' - Thakur from Sholay #Irony,YES
5817,poll finds majority of  americans would like things to go right for once,YES
7124,man had no idea cough was going to be wet one,YES
11251,gay marriage opponents warn supreme court ruling could put nation on slippery slope to rationality,YES
3588,Cricket News Umar Akmal Ko Sabar Se Kaam Lena Chahiye QK Maazi Me SarFraz Ahmed K khilaaF Bhi Aisi Sazish Huwe Thi Aur SarFraz Ahmed Ne,NO
11953,kid with massive head probably psychic,YES
4301,Shaadi karni hai tho apni gf se karo !! Doosron ki gf se shaadi tho apne gharwale bhi kara dete !! #desi #irony :p,YES
13088,makeshift opinion thrown together from viewpoint currently dominating conversation,YES
4065,Yaha sub politics kar rahe hai. . Kisi ko koi sympathy nahi. . Sub apna party ko Acha banane me lage hai. .,NO
11219,area man proud he can still fit into car from high school,YES
4846,"tyacha bollywood madhun vishay sampvun taka , pay theu deu naka tyala, tyachya aai-bapani kahich nahi shikvale tyala, vachalvir  aahe to!",NO
971,Yehi khabre aa rahi h ki baba ki politics me sakriyata ke chalte hi govt bhakto ke liye soft rahi & log marte rahe,NO
870,@RajatSharmaLive Triple Talaq k baad kya halala par bhi bjp rok lagayegi? ?,NO
2974,Actro or cricket bhi hawaskhor hote he ram rahim ki tarah.@imVkohli @hardikpandya7 @RanveerOfficial @RanbirKapoorFC. Bahut he abhi.hawasi,NO
11764,taylor swift apparently now dating 'garfield' creator jim davis,YES
12164,weird new cereal sets tone for first weekend at divorced dad's,YES
9179,israel agrees to creation of palestinian homeroom,YES
11322,biden donates collection of classic skin mags to those in need during holidays,YES
12420,usa today crossword puzzle grants false sense of intelligence,YES
4149,sannatta isliye hai ki Bawana main AAP ki politics khul gayi hai,NO
9976,surgeon general warns teens cinnamon challenge is not for pussies,YES
5123,@FatimaAmeer roz na nahao toh hojata he. :-P #Sarcasm,NO
2665,Pakistani Politics aur governance par 70 saal se amalan kis ki baladasti aur  hakmiyat qayim hai?,NO
7542,man visiting hometown amazed to find all his childhood insecurities still there,YES
7595,man celebrates raise company will eventually use to justify firing him,YES
6517,"local play well-attended by friends, family",YES
3,Hindu baheno par julam bardas nahi hoga @TripleTalaq Hindu daram par lago hoga hamari Hindu baheno ki soraksa ke liye,NO
5061,"Dedicated to #BeghairatKESC: Tumsa koi, pyara koi, Maasoom nahin hai ! Kya cheez ho tum, khud tumhain maloom nahin hai ! #sarcasm",NO
8064,fox news reporter asks the questions others are too smart to ask,YES
6669,college graduate accepts position above parents' garage,YES
4734,Abhi tak cricket me Suna tha hatrik lagti hai ....,NO
4955,In jaise logon ko sirf bachhe paida karna aata hai triple talaq de de ke #quantityoverquality,NO
1972,"While @RedChilliesEnt bring #JabHarryMetSejal, #RajahSpices is adding a #Foodie twist with Jab Punjabi Kadhi meets Gujarati Kadhi #Bollywood pic.twitter.com/XPNymmCwDM",NO
10172,report: a lot of people's dream is to have sex with a ghost,YES
14022,"""Haan haan, tumhari sarcasm se sab timid comments transform into bold statements.""",YES
7656,mueller gives up trying to get report published after receiving YES9th literary agent rejection,YES
1380,Abhi tak ye baat samajh main nahi aai triple talaq musalmano main ban huvi hai lekin khush hindu and media ho rahain hanin,NO
4774,"Apni baat karo yaar, halala aur triple talaq pe duyan do..tum nahi samjoge...",NO
9835,hundreds of cuban refugees clinging to air force one on flight back to u.s.,YES
11743,american dental association recommends making your gums hurt really bad once a day,YES
2321,Ab responsibility jaisi koi cheej rahi he nhi.aaj ke leaders apni nakami ko dusro par thopna jante hai. Gandi politics sir. Very shameful,NO
5880,"rommel, hummel dominate parents' christmas list",YES
11951,nation's fact-checkers confirm they'll probably wrap up evaluating trump's statements by 2NO5NO at latest,YES
1731,Bollywood ke market mai kohinoor se bhi jayada kimti hai bhaijaan Insane stardom  pic.twitter.com/HT0Kue7WWC,NO
8007,pure silk to stream from cindy crawford's ass,YES
9573,johnson & johnson introduces new leave-in q-tips,YES
9306,bus passenger stops trying to enjoy kansas scenery,YES
11597,alito keeps telling supreme court how they did things in circuit court,YES
11682,your republican friend to explain why paul ryan is great choice,YES
8108,depressed nra member half-hoping son will accidentally shoot him,YES
8415,u.s. fish and wildlife service reintroduces straw hat-wearing boys to old fishin' holes,YES
7058,"word 'innovate' said 65NO,NONONO times at sxsw so far",YES
10421,parent takes out $YESNONO bill in front of wide-eyed 7-year-old,YES
8028,study: only 4 scenic routes left in country,YES
4548,Desh kahan ja raha is ka andaza sirf is hashtag se lagaya ja sakta hain #TruthOfGorakhpur stop politics @myogiadityanath laparvahi hui hain,NO
3228,@Javedakhtarjadu ..#TripleTalaq  pe aapke vichaar dekh ke aap pe badi sharam aa rahi hain ..aapse Mr drocanian,NO
6815,midwestern tornado destroys 4 world's largest objects,YES
3168,Triple Talaq Diye ka ???,NO
11724,9 senior white house staffers injured in collapse of overcrowded truman balcony,YES
5242,"Na afsos hai tujhe sahab na koi sharmindagi hai, Guzar rahi hai jo gunaahon mein yeh kesi zindagi hai.. @Daiianeplis #sarcasm @REG_ular",NO
2874,Ye koi Mudda h Ye to Normal h Mudde to Triple Talaq Love jihad or Ghar vapsi ka h Awaam to marti aayi h marti rahegi #AchheDinKeNiraleSupne,NO
4537,Cricket ki aisi ki taisi karne walo ko to jail bhejna hi chahiye.,NO
6808,pope asks to be taken off list of world's YESNONO richest people,YES
6235,man hopes hot woman in next apartment can hear how well he's fucking his girlfriend,YES
7795,national filmstrip board calls for quiet,YES
12987,neighborhood kids grant landmark status to house where guy killed himself,YES
12257,u.s. consumer confidence shaken after mom buys wrong kind of tortilla chips,YES
9772,john bolton arrives in office excited to see so many familiar wars,YES
9971,traveler excited hotel has hbo until he checks listing,YES
13213,biden's ebay feedback rating dips below 35 percent,YES
10176,"he's a stockbroker,' says woman who finds that exciting",YES
12816,man unwilling to skydive blasted for contradicting previous 'up for whatever' stance,YES
2071,Tejashwi ji.. Politics hota hi Aisa hai apne ka pahle gala kaata jata hai. Yadav Ab tak lulu hi hai lagta,NO
9790,bo obama addresses graduates of dayton obedience school,YES
3417,Rehne dijiye Jayeshji.  Ab toh aunty seedha Induji se politics/diplomacy seekhenge. Book likh k gurudakshina advance mei de diya gaya hai!,NO
1735,Zehreeley triple talaq Halala jaise zulm ke samarthak apni aukaat mein baat karne. Kuch saamnewala bolega aag lag jaayegi peechwaade mein.,NO
13136,"sweating, exhausted christian bale stumbles past YES3-mile marker on oscars red carpet",YES
13147,white supremacist living fulfilling racist life since getting kicked offline,YES
13070,headphones-wearing pedestrian loudly proclaims iron man status,YES
7662,heartbroken chris brown always thought rihanna was woman he'd beat to death,YES
7432,smithsonian acquires rare photograph where whole family looks really nice,YES
2557,Himaat nahi RSS ko flag hosting ki.chalay hai Hindu ki politics karnay.desh ko barbad kar rahi inki fake desh prem.,NO
10012,man keeping running total of how many people in gym in worse shape than him,YES
324,Bhai Chai peeke aata hu.Thoda wait kroge ya apka shift khatm hogya.Waise Kitna kamaate ho per Hate Twt keliye.#Sarcasm,YES
4859,It's okay yar..awareness ki hi baat hai toh bahut se logon ko cricket ke alawa aur sports ka ata pta bhi nahi hoga..,NO
11571,lawyers opposing health care law cite kids-with-pre-existing-conditions-can-go-fuck-themselves clause,YES
6573,hospital paperwork reduces man's reading comprehension to first-grade level,YES
5666,ford confirms plant fire caused by spooked f-YES5NO knocking over lantern,YES
13918,"""Kya baat hai, tumhara plan se sab old complaints get a brand new twist.""",YES
10881,best buy employee wearing different colored shirt for some reason,YES
3743,Sheher ki diwarein mardana kamzori se rangi hai aur log kehte hai ki aurat kamzor hai. #sarcasm,YES
13426,historical archives: weekley duel results,YES
13464,college freshman already loves it,YES
1950,Ye to Congress ke gaddhe hai jinko bharne me time lagega. #Sarcasm,YES
9978,university suspends all lightweights from campus following fraternity hazing death,YES
494,Triple talaq ka option hai.,NO
2453,"Bajaur me koohi noor cricket turnament ka final national 11 NE jeeta, woner tem ko 50000 rupi deya najeeb khan ne,  Ayaz zalmi 03075664413",NO
8775,alumni furious over high school's constant improvements,YES
5057,@GuptRogue aisa nahi hai. Ham gareeb log use karte hein :P #sarcasm,NO
4628,Aur arakchan bus 10 saal ke liye laagu kiya gya tha... Fir baad.me.sab vote ka politics me ise badhata gya aur compulsory karta gya,NO
5361,hillary clinton suspended 3 weeks by fec for spitting on volunteer,YES
6627,megan fox daydreaming about megan fox naked,YES
5472,jimmy fallon six tantalizing months from disappearing forever,YES
8253,report: what you just said reminds man of thing he'd rather talk about,YES
8740,spotify removes 'this is: white supremacy' playlist,YES
584,Ishq shava - jab tak hai jaan  Katrina kaif did that #Katrinakaif #shahrukhkhan #srk #bollywood #indiapic.twitter.com/hY6BOExRMn,NO
11334,westboro baptist church not really sure why they're picketing allan arbus' funeral,YES
5989,child visiting ellis island sees where grandparents once toured,YES
3657,politics wale hote hi he aksar dogle type ke isko aam log samajh paye bahut mushkil he mana lalu chara chor the nitish kya he dogla,NO
7033,julian assange: nobody likes a tattletale,YES
11990,area man patiently waiting for humiliating email to cycle off first page,YES
11550,actual governing to resume,YES
4647,Hahahahhaa ..rajeev jaise log bas khans' ke paise khate hai . Hrithik baap hai sabka agar  uske against politics na ho to,NO
9595,god reveals jerusalem actually only 87th holiest site on earth,YES
3801,Aj Pakistan Ki Jeet Se Zyada Cricket Ki Jeet Hui Hai...  #CricketComesHome #PAKvsWorldXI #CricketKiHalalala,NO
6555,velociraptor from 'jurassic park' dies,YES
7585,amsterdam tourist can't find 'kind bud' in phrasebook,YES
5717,second-grader likes to save purple pills for last,YES
5349,ted danson totally nails tonight show interview,YES
5264,naacp demands less minority representation on upn,YES
5157,@iMeghaGargII Ab toh #sarcasm ki hadd ho gyi...Duh!!,NO
793,Koi apno ke liye jina chhod deta he.......toh koi jine ke liye apno ko chhod deta he........ #irony #life,YES
4880,Khayalo me lakho baar yun to keh gaya.  Bola kuch na tere saamne.   #aadeez #nation #pakistan #india #peace #AtifAslam #music #Bollywood pic.twitter.com/wtgwlizxK9,NO
7243,new plastic surgery technique makes 4NO-year-old women look like really-weird-looking 38-year-olds,YES
3365,"Only summound will be done, 56"" kabhi girafatar nahin karega, Kiyon kee yeahi politics hai, govt. koi bhi ho,sina kitna v ho,par kuch nahin",NO
12801,study: 25-foot-tall asian women remain underrepresented in media,YES
3092,"ek har nahi pacha sakte to cricket dhekhna chod do, Because #CT17 final ke waqt hi sabki aukat dekh li maine",NO
9426,report: one in three americans will get dessert if someone else does,YES
8217,royal baby eats first meal,YES
11133,scientists discover mollusks are next evolutionary stage for humans,YES
12524,"friends, family waiting for current bout of man's depression to subside before really laying into him",YES
6936,springer audience now just chanting 'kill! kill!',YES
4910,Gadhe kaam kar kar ke mare jaa rahe hai   modi ko duniya gadha keh rahi hai  #irony,YES
8254,cd club somehow tracks down local woman,YES
10414,mark zuckerberg insists anyone with same skewed values and unrelenting thirst for power could have made same mistakes,YES
6683,"2NO million americans without health care attend painful, labored march on washington",YES
5337,area man feels even lazier when he thinks about how much isis has accomplished this year,YES
12288,"beanie baby collection stares at owner with 226 cold, dead eyes",YES
7431,construction union seeks to reduce incidence of accidents involving babies crawling on steel i-beams,YES
6569,5-year-old at underfunded kindergarten enjoying last few weeks before achievement gap kicks in,YES
5049,@The_Moron arey iron se haath jala k hot pan.....lol ek cheez bol.... #irony or hot pan....,NO
9093,anthropologists unearth possible missing link between a- and b-list celebrities,YES
10113,"area father remembers when he thought killing family, self was crazy",YES
7626,rapidly expanding at&t merges with entirety of existence,YES
6678,thrill-seeker microwaves pot pie without slitting crust,YES
6834,supporters praise trump for upholding traditional american value of supporting murderous dictators for political gain,YES
6813,conjoined twin hogging kidney,YES
1290,"5 September  1975  Nishant - @AzmiShabana , Smita Patil, Girish Karnad.  2003 Kuch Naa Kaho,  Calcutta Mail, Rules  #Bollywood #nostalgiapic.twitter.com/2DADTITS9G",NO
2365,"@ZeeNews Hadd ho gayi, Congress ki Muslims Ko Hint,TripleTalaq pe zidd karna?Muslim Ladies Ko samazhna hai ki yeh party mamla atka Rahi hai.",NO
347,"So, How dare he Ki wo ek neta k rishtedaar ka chlaan kaate Aukaat kya hai iski Ek mamuli sa police wala  #sarcasm",YES
545,Chutiyo ke chacha jan politics hi kahe nahi join kar lete Ashutoswa ki tarah kabhi saram ati hai ka,NO
11450,super 8 offering writers residency for anyone working on suicide note,YES
5439,area throat-clearer to go see movie,YES
9587,local man gets cocky with ladder,YES
